Country_Code,Country_Name,Year,Series,Value,Footnotes,Source
818,Egypt,2019,GDP per capita (US dollars),"3,161",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
222,El Salvador,2019,GDP per capita (US dollars),"4,187",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
226,Equatorial Guinea,2019,GDP per capita (US dollars),"8,130",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
232,Eritrea,2019,GDP per capita (US dollars),567,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
233,Estonia,2019,GDP per capita (US dollars),"23,740",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
748,Eswatini,2019,GDP per capita (US dollars),"4,002",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
231,Ethiopia,2019,GDP per capita (US dollars),828,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
242,Fiji,2019,GDP per capita (US dollars),"6,185",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
246,Finland,2019,GDP per capita (US dollars),"48,678",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
250,France,2019,GDP per capita (US dollars),"40,319","Including French Guiana, Guadeloupe, Martinique and Réunion.","United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
258,French Polynesia,2019,GDP per capita (US dollars),"21,567",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
266,Gabon,2019,GDP per capita (US dollars),"7,773",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
270,Gambia,2019,GDP per capita (US dollars),776,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
268,Georgia,2019,GDP per capita (US dollars),"4,439",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
276,Germany,2019,GDP per capita (US dollars),"46,232",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
288,Ghana,2019,GDP per capita (US dollars),"2,203",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
300,Greece,2019,GDP per capita (US dollars),"19,604",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
304,Greenland,2019,GDP per capita (US dollars),"53,353",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
308,Grenada,2019,GDP per capita (US dollars),"10,818",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
320,Guatemala,2019,GDP per capita (US dollars),"4,363",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
324,Guinea,2019,GDP per capita (US dollars),967,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
