Region/Country/Area,,Year,Series,Value
540,New Caledonia,2019,GDP per capita (US dollars),"$34,942.00"
554,New Zealand,2019,GDP per capita (US dollars),"$43,229.00"
558,Nicaragua,2019,GDP per capita (US dollars),"$1,913.00"
562,Niger,2019,GDP per capita (US dollars),$555.00
566,Nigeria,2019,GDP per capita (US dollars),"$2,361.00"
807,North Macedonia,2019,GDP per capita (US dollars),"$6,093.00"
578,Norway,2019,GDP per capita (US dollars),"$74,986.00"
512,Oman,2019,GDP per capita (US dollars),"$15,343.00"
586,Pakistan,2019,GDP per capita (US dollars),"$1,187.00"
585,Palau,2019,GDP per capita (US dollars),"$15,572.00"
591,Panama,2019,GDP per capita (US dollars),"$15,728.00"
598,Papua New Guinea,2019,GDP per capita (US dollars),"$2,845.00"
600,Paraguay,2019,GDP per capita (US dollars),"$5,406.00"
604,Peru,2019,GDP per capita (US dollars),"$6,978.00"
608,Philippines,2019,GDP per capita (US dollars),"$3,324.00"
616,Poland,2019,GDP per capita (US dollars),"$15,727.00"
620,Portugal,2019,GDP per capita (US dollars),"$23,350.00"
630,Puerto Rico,2019,GDP per capita (US dollars),"$35,791.00"
634,Qatar,2019,GDP per capita (US dollars),"$64,782.00"
410,Republic of Korea,2019,GDP per capita (US dollars),"$32,143.00"
498,Republic of Moldova,2019,GDP per capita (US dollars),"$2,957.00"
642,Romania,2019,GDP per capita (US dollars),"$12,914.00"
643,Russian Federation,2019,GDP per capita (US dollars),"$11,606.00"
646,Rwanda,2019,GDP per capita (US dollars),$820.00
659,Saint Kitts and Nevis,2019,GDP per capita (US dollars),"$19,896.00"
662,Saint Lucia,2019,GDP per capita (US dollars),"$11,611.00"
670,Saint Vincent & Grenadines,2019,GDP per capita (US dollars),"$7,464.00"
882,Samoa,2019,GDP per capita (US dollars),"$4,285.00"
674,San Marino,2019,GDP per capita (US dollars),"$47,313.00"
678,Sao Tome and Principe,2019,GDP per capita (US dollars),"$1,961.00"
682,Saudi Arabia,2019,GDP per capita (US dollars),"$23,140.00"
686,Senegal,2019,GDP per capita (US dollars),"$1,452.00"
688,Serbia,2019,GDP per capita (US dollars),"$7,359.00"
690,Seychelles,2019,GDP per capita (US dollars),"$17,382.00"
694,Sierra Leone,2019,GDP per capita (US dollars),$528.00
702,Singapore,2019,GDP per capita (US dollars),"$64,103.00"
534,Sint Maarten (Dutch part),2019,GDP per capita (US dollars),"$23,804.00"
703,Slovakia,2019,GDP per capita (US dollars),"$19,256.00"
705,Slovenia,2019,GDP per capita (US dollars),"$26,062.00"
90,Solomon Islands,2019,GDP per capita (US dollars),"$1,945.00"
706,Somalia,2019,GDP per capita (US dollars),$105.00
710,South Africa,2019,GDP per capita (US dollars),"$6,001.00"
728,South Sudan,2019,GDP per capita (US dollars),$448.00
724,Spain,2019,GDP per capita (US dollars),"$29,816.00"
144,Sri Lanka,2019,GDP per capita (US dollars),"$3,940.00"
275,State of Palestine,2019,GDP per capita (US dollars),"$3,424.00"
729,Sudan,2019,GDP per capita (US dollars),$815.00
740,Suriname,2019,GDP per capita (US dollars),"$6,360.00"
752,Sweden,2019,GDP per capita (US dollars),"$52,896.00"
756,Switzerland,2019,GDP per capita (US dollars),"$85,135.00"
760,Syrian Arab Republic,2019,GDP per capita (US dollars),"$1,194.00"
762,Tajikistan,2019,GDP per capita (US dollars),$894.00
764,Thailand,2019,GDP per capita (US dollars),"$7,785.00"
626,Timor-Leste,2019,GDP per capita (US dollars),"$1,561.00"
768,Togo,2019,GDP per capita (US dollars),$899.00
776,Tonga,2019,GDP per capita (US dollars),"$4,865.00"
780,Trinidad and Tobago,2019,GDP per capita (US dollars),"$16,637.00"
788,Tunisia,2019,GDP per capita (US dollars),"$3,318.00"
792,Turkey,2019,GDP per capita (US dollars),"$9,127.00"
795,Turkmenistan,2019,GDP per capita (US dollars),"$8,124.00"
796,Turks and Caicos Islands,2019,GDP per capita (US dollars),"$31,353.00"
798,Tuvalu,2019,GDP per capita (US dollars),"$4,036.00"
800,Uganda,2019,GDP per capita (US dollars),$737.00
804,Ukraine,2019,GDP per capita (US dollars),"$3,496.00"
784,United Arab Emirates,2019,GDP per capita (US dollars),"$43,103.00"
826,United Kingdom,2019,GDP per capita (US dollars),"$41,855.00"
834,United Rep. of Tanzania,2019,GDP per capita (US dollars),"$1,084.00"
840,United States of America,2019,GDP per capita (US dollars),"$65,134.00"
858,Uruguay,2019,GDP per capita (US dollars),"$16,190.00"
860,Uzbekistan,2019,GDP per capita (US dollars),"$1,756.00"
548,Vanuatu,2019,GDP per capita (US dollars),"$3,023.00"
862,Venezuela (Boliv. Rep. of),2019,GDP per capita (US dollars),"$4,733.00"
704,Viet Nam,2019,GDP per capita (US dollars),"$2,715.00"
887,Yemen,2019,GDP per capita (US dollars),$855.00
894,Zambia,2019,GDP per capita (US dollars),"$1,292.00"
716,Zimbabwe,2019,GDP per capita (US dollars),"$1,464.00"
